"DateTime","Players","Players Trend","Twitch Viewers","Flags"
"2016-05-11 00:00:00",32,,,
"2016-05-12 00:00:00",29,,,
"2016-05-13 00:00:00",27,,,
"2016-05-14 00:00:00",24,,,
"2016-05-15 00:00:00",8,,,
"2016-05-16 00:00:00",33,,,
"2016-05-17 00:00:00",34,,,
"2016-05-18 00:00:00",30,,,
"2016-05-19 00:00:00",29,,,
"2016-05-20 00:00:00",25,,,
"2016-05-21 00:00:00",15,,,
"2016-05-22 00:00:00",6,,1,
"2016-05-23 00:00:00",32,,1,
"2016-05-24 00:00:00",27,,0,
"2016-05-25 00:00:00",30,,0,
"2016-05-26 00:00:00",24,,0,
"2016-05-27 00:00:00",39,,0,
"2016-05-28 00:00:00",21,,0,
"2016-05-29 00:00:00",10,,0,
"2016-05-30 00:00:00",10,,0,
"2016-05-31 00:00:00",29,,0,
"2016-06-01 00:00:00",29,,0,
"2016-06-02 00:00:00",34,,0,
"2016-06-03 00:00:00",35,,0,
"2016-06-04 00:00:00",26,,0,
"2016-06-05 00:00:00",6,,0,
"2016-06-06 00:00:00",24,,0,
"2016-06-07 00:00:00",31,,0,
"2016-06-08 00:00:00",27,,0,
"2016-06-09 00:00:00",28,,0,
"2016-06-10 00:00:00",27,,0,
"2016-06-11 00:00:00",24,,0,
"2016-06-12 00:00:00",15,,0,
"2016-06-13 00:00:00",30,,0,
"2016-06-14 00:00:00",31,,0,
"2016-06-15 00:00:00",30,,0,
"2016-06-16 00:00:00",34,,0,
"2016-06-17 00:00:00",37,,0,
"2016-06-18 00:00:00",27,,0,
"2016-06-19 00:00:00",20,,0,
"2016-06-20 00:00:00",33,,0,
"2016-06-21 00:00:00",30,,0,
"2016-06-22 00:00:00",45,,0,
"2016-06-23 00:00:00",46,,1004,
"2016-06-24 00:00:00",51,,0,
"2016-06-25 00:00:00",53,,0,
"2016-06-26 00:00:00",16,,0,
"2016-06-27 00:00:00",49,,0,
"2016-06-28 00:00:00",44,,0,
